gamma,beta,mu,relational_polarization_mean,relational_polarization_std,ideological_polarization_mean,ideological_polarization_std,avg_communities,actors,communities
2.5,1.5,0.1,0.5205170778444166,0.0030876100827377,0.6575815852486586,0.194187793936902,5.9,500,7
2.5,1.5,0.15,0.5193987731178628,0.0038029969892147,0.65995913413435,0.206892763573964,5.75,500,7
2.5,1.5,0.2,0.4950330272833369,0.113583820051488,0.6910455725347644,0.239251019314098,5.75,500,7
2.5,1.5,0.25,0.4668401016215114,0.1552311131610363,0.5720100223934432,0.1310613113908187,5.75,500,7
2.5,1.5,0.3,0.3145952552059537,0.2530064194069313,0.5543823997527737,0.1472185146507413,5.85,500,7
2.5,1.5,0.35,0.4357882946784447,0.1825674018329044,0.4687522177895709,0.0401621375378066,5.7,500,7
2.5,1.5,0.4,0.28750715576734,0.2549356740054356,0.5024777796993516,0.0566138527957893,5.95,500,7
2.5,1.5,0.45,0.21055958493072,0.2485560729047612,0.4893444131850279,0.0321311044542782,5.95,500,7
2.5,1.5,0.5,0.2101892690467444,0.247999516269124,0.4959210929665527,0.0167708844894989,5.75,500,7
2.5,1.5,0.55,0.1119923769779522,0.2034745299925228,0.4948615234088611,0.0222599345728825,5.9,500,7
2.5,1.5,0.6,0.1608427199881782,0.2319327418091079,0.4948191297615787,0.0220737015707802,5.8,500,7
2.5,1.5,0.1,0.5100785672579533,0.0013752571898204,0.6588164901046685,0.1937917115833921,8.4,1000,9
2.5,1.5,0.15,0.51002753903141,0.0016686886267553,0.6829868151112163,0.2081254000010435,8.85,1000,9
2.5,1.5,0.2,0.5103934753085954,0.0020091920030826,0.711333553816981,0.2309609218472281,8.3,1000,9
2.5,1.5,0.25,0.4842432482583124,0.1124802082415271,0.633112088884226,0.2026845709719124,8.5,1000,9
2.5,1.5,0.3,0.4323699133918568,0.1836834149015891,0.5752996452534489,0.1724054914391615,8.5,1000,9
2.5,1.5,0.35,0.3071579037137578,0.2519322880604194,0.4923692423134539,0.0727368626891938,8.9,1000,9
2.5,1.5,0.4,0.2054044192264486,0.2501104509192393,0.4957710330899221,0.0119682272439418,8.7,1000,9
2.5,1.5,0.45,0.2547764868155264,0.2548300956068109,0.4929774996816206,0.0226308259134063,8.1,1000,9
2.5,1.5,0.5,0.1808061631059981,0.243681644938829,0.4921572539940918,0.0239300768750043,8.45,1000,9
2.5,1.5,0.55,0.1559842975171537,0.2344150705693106,0.4880998138833021,0.0367916892570579,8.4,1000,9
2.5,1.5,0.6,0.2051584510353988,0.2496355799356515,0.4901578768147255,0.0298409245549351,8.45,1000,9
2.5,1.5,0.1,0.502026638876486,0.0003028652031879,0.6883102832846952,0.1971588073130606,18.6,5000,22
2.5,1.5,0.15,0.5019927040791373,0.0002502055922571,0.6708459957380044,0.185414534056279,20.15,5000,22
2.5,1.5,0.2,0.5019985871190709,0.0002651827332446,0.6655158016033751,0.2025072561246084,19.9,5000,22
2.5,1.5,0.25,0.4518208569060812,0.1540790130316252,0.6479917171969515,0.1791016290670124,18.6,5000,22
2.5,1.5,0.3,0.4266940577257435,0.1833499145874255,0.6205886656240802,0.155009024471197,20.15,5000,22
2.5,1.5,0.35,0.2262261109436021,0.2551416832208606,0.5146009403674574,0.0348677455371508,19.9,5000,22
2.5,1.5,0.4,0.2262562372189079,0.2551669114854529,0.5053368818533636,0.0544400161074855,19.35,5000,22
2.5,1.5,0.4499999999999999,0.2762933052643566,0.2552151119971944,0.4952395085304737,0.0631130675569667,18.5,5000,22
2.5,1.5,0.5,0.1263254446579466,0.2221964052493884,0.4981269734633101,0.0657634513635113,18.2,5000,22
2.5,1.5,0.55,0.1011580218477902,0.204939494554486,0.4951926185882748,0.021426924141364,19.6,5000,22
2.5,1.5,0.6,0.1261418101745475,0.2218671643871028,0.4957932623812441,0.0187378107577068,19.85,5000,22
