gamma,mu,relational_polarization_mean,relational_polarization_std,ideological_polarization_mean,ideological_polarization_std,avg_communities,actors,communities
2.5,0.1,0.5205170778444166,0.003087610082737731,0.6575815852486586,0.194187793936902,5.9,500,7
2.5,0.15000000000000002,0.5193987731178628,0.0038029969892147963,0.65995913413435,0.20689276357396402,5.75,500,7
2.5,0.2,0.4950330272833369,0.11358382005148802,0.6910455725347644,0.239251019314098,5.75,500,7
2.5,0.25,0.46684010162151146,0.15523111316103633,0.5720100223934432,0.13106131139081872,5.75,500,7
2.5,0.30000000000000004,0.31459525520595377,0.2530064194069313,0.5543823997527737,0.14721851465074134,5.85,500,7
2.5,0.35,0.4357882946784447,0.18256740183290446,0.46875221778957094,0.04016213753780664,5.7,500,7
2.5,0.4,0.28750715576734,0.2549356740054356,0.5024777796993516,0.056613852795789316,5.95,500,7
2.5,0.45000000000000007,0.21055958493072002,0.24855607290476128,0.48934441318502797,0.03213110445427821,5.95,500,7
2.5,0.5,0.2101892690467444,0.24799951626912406,0.49592109296655273,0.01677088448949893,5.75,500,7
2.5,0.55,0.11199237697795228,0.2034745299925228,0.4948615234088611,0.022259934572882518,5.9,500,7
2.5,0.6,0.16084271998817826,0.2319327418091079,0.49481912976157877,0.022073701570780285,5.8,500,7
